,Appenzell-Ausserrhoden,Basel-Landschaft,Obwalden,Nidwalden,Freiburg,Appenzell-Innerrhoden,Zurich,Ticino,Geneve,Thurgau,Jura,Neuchatel,Aargau,Luzern,Schwyz,Zug,Glarus,Solothurn,Uri,Basel-Stadt,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31,132764,471743,65395,101786,484980,30481,2037030,573573,707203,423865,105258,252764,933747,653820,286973,195955,63424,460394,62467,410705,140450,1762391,643775,879072,1223017,861290
2019-01-01,109409,308725,73576,104149,334304,35505,1367832,406241,504727,284709,73066,159040,587398,505801,265870,140624,77544,305576,71771,268914,98448,1314007,708036,722664,803431,661243
2019-01-02,108512,506798,56414,85197,416401,26027,1589529,541729,756934,326198,77257,213907,739989,530808,280130,177287,59899,375089,56134,437556,122346,1240290,511243,842547,837281,735926
2019-01-03,137908,580700,85434,121268,520847,34100,2335211,566174,891089,481968,117040,280957,1091774,737315,337485,253095,81337,546299,72909,499840,161843,1954924,627070,1032533,1267919,796375
2019-01-04,141765,617356,83828,122021,549711,33673,2505362,589742,934364,504456,122374,294426,1151408,779265,354041,269044,82274,573762,71829,531372,171215,1991063,585000,1082972,1321789,773029
2019-01-05,107674,485472,58739,88408,464999,24943,2043661,520900,802997,407667,104883,255067,965888,621268,270996,215322,59463,470559,57629,406623,137335,1610450,415302,845583,1170111,605437
2019-01-06,85406,344353,46126,68729,355895,22430,1459327,394507,592656,278496,75875,175649,629299,444666,224188,153331,46166,329552,43589,275973,100104,1172166,279583,608411,834733,426497
2019-01-07,135911,692414,67678,98775,590690,27956,2929985,638966,1235743,533678,135093,345779,1258841,771114,325077,313095,62716,614324,58436,628690,182259,2034614,361423,1049197,1551390,568627
2019-01-08,141103,714875,65791,94017,593145,28932,2994335,643696,1238788,544906,137449,351178,1282398,785630,320102,311609,60552,625833,53116,652391,186109,2051056,337867,1050002,1549302,524842
2019-01-09,141275,714063,66146,95940,592495,29765,3070644,647372,1232941,552431,136236,355581,1312626,802339,329033,317838,59787,626971,51912,650543,187051,2051850,319605,1060589,1556514,510465
2019-01-10,130503,722545,68755,97820,616153,28291,3053633,671579,1294255,531953,140666,370531,1307427,806142,327694,319425,62539,641420,55327,669532,186009,2131559,362652,1035310,1602857,568761
2019-01-11,157287,762056,82140,117223,672097,35768,3288800,711134,1352128,594716,154271,393313,1418281,882970,389963,349648,80266,678092,67061,686083,202835,2312990,460011,1196351,1719784,644931
2019-01-12,146255,561059,80117,114832,560824,38130,2518391,552542,940937,489124,126263,314410,1166466,749717,362198,257241,73513,546585,66489,474192,160714,1953081,469697,1017509,1374850,660325
2019-01-13,80804,338446,44764,64022,352220,20096,1495723,377946,620854,284156,79628,178096,641180,449050,215595,152770,44742,315217,36548,282720,97293,1118176,257267,589127,814502,326135
2019-01-14,136856,714292,68239,97835,615666,27245,3051071,659918,1322983,549123,138841,358852,1297175,794125,326287,316130,58467,636395,50173,653267,185491,2110737,310665,1047897,1606071,514020
2019-01-15,150422,743156,75583,109055,645010,32711,3178733,669009,1368607,573771,147217,375540,1378177,847636,357611,332538,65056,675341,51896,682296,189805,2259600,373805,1119607,1704226,597191
2019-01-16,163336,754871,87114,125348,666094,37698,3250868,675283,1361853,589094,151450,386796,1397520,889038,403157,345924,76947,682911,71488,685155,193449,2323555,451188,1194302,1732918,625453
2019-01-17,148554,738346,74660,105560,633955,31355,3155498,665831,1356401,570958,143806,371479,1358807,835774,348053,329602,69654,664978,57001,679828,191489,2207470,410719,1114805,1651613,571815
2019-01-18,158270,751215,86158,120061,691050,36917,3236411,697526,1349778,596789,154160,395573,1411205,883978,389724,354441,82433,686350,67233,714345,201200,2328111,493796,1202108,1743269,653881
2019-01-19,149848,575358,97092,135909,625293,44176,2559125,515576,952404,505405,130423,320290,1185329,792671,414279,270180,90919,561267,75917,492642,163331,2052731,603246,1108370,1443565,733355
2019-01-20,112140,361667,70415,97445,432704,35610,1689487,392111,638664,333835,94726,202204,733302,537779,300988,190599,71370,364623,59819,293946,112664,1368746,488393,782252,962346,501497
2019-01-21,143995,716258,74402,105176,642567,30936,3118445,666591,1309376,559792,145421,369638,1319999,809197,354028,323328,71553,645293,58842,644643,189741,2194572,462673,1095917,1673479,601853
2019-01-22,143328,667614,76820,106580,583977,33282,2877671,606190,1182284,517635,140279,339339,1221649,756051,343150,304248,70441,597997,60028,593098,172592,2032275,459234,1036061,1533365,557954
2019-01-23,117573,478836,53229,74432,424553,25832,2189082,429474,825965,403777,103071,250683,927479,562500,253353,226552,50733,430523,41808,429839,138948,1454757,323479,777977,1081887,368731
2019-01-24,117444,497067,55009,76103,453287,25108,2284769,470650,922342,421463,106273,268421,965216,583460,257522,231204,53441,454761,41853,455710,146352,1557116,344085,812769,1171232,404958
2019-01-25,149266,666874,81065,111385,634982,33062,2993810,637246,1200957,558694,145470,354617,1277695,808554,362166,309278,78427,617064,62425,600856,187561,2126287,475962,1109511,1575700,618923
2019-01-26,118926,532082,79894,114208,592550,29742,2442771,540304,929000,446061,128160,300826,1093715,733829,344130,255750,76326,530914,67506,474468,156003,1908573,543202,961482,1386401,723664
2019-01-27,88542,356205,56740,82511,388011,27123,1653920,333885,613165,284662,95337,184143,674825,501780,267678,177540,65285,337527,52724,296008,103000,1243135,455918,680318,858555,424486
2019-01-28,124520,694129,71083,100621,603253,26330,2980323,676648,1279333,480216,142694,352193,1203222,785864,326551,306434,62266,618919,55303,636957,169268,2078838,436459,984449,1586352,598028
2019-01-29,138582,742136,77706,112211,655287,33938,3188744,707315,1340956,507424,151511,382907,1293133,844032,374374,331926,70555,665806,64041,676052,177548,2245217,493084,1075908,1753091,668883
2019-01-30,134215,745142,75694,109504,643253,31269,3183285,686598,1322727,508162,154049,369734,1287868,851668,360865,332448,66275,661049,64077,675935,174458,2210532,468585,1054607,1669967,619591
2019-01-31,136808,747321,79123,114780,658362,33580,3186166,717558,1360542,507621,157291,382383,1307141,863847,371223,332801,74442,677887,64188,679098,174465,2278600,512334,1080469,1694382,658362
2019-02-01,142343,741971,83881,119064,655020,33001,3231727,591698,1295261,533111,158092,376252,1323425,883847,387483,337939,79289,669378,68568,657673,180620,2258160,476351,1139847,1661280,672358
2019-02-02,131156,570414,85359,124621,583104,36235,2529333,504911,944365,473222,135031,324281,1095380,766434,384815,247018,78875,537674,68795,492991,148105,1956662,543739,1035704,1428994,750714
2019-02-03,78708,342852,47435,69191,379496,21699,1558886,366355,642026,287772,90406,193261,624741,463938,238410,155771,50424,319963,40996,283999,97808,1201042,336730,627036,901696,448347
2019-02-04,149137,715298,79638,114791,641157,34460,2973024,702256,1298040,562178,149750,374665,1202710,812459,370523,295550,74296,597989,66462,638914,170968,2154914,512369,1127171,1672526,729052
2019-02-05,158736,740069,88001,125551,666540,37890,3055748,714460,1334647,577343,156825,388085,1237928,851634,395360,301893,78591,615639,70931,666394,173785,2260252,535995,1160876,1721236,742933
2019-02-06,169956,766796,92066,131254,683669,41807,3116868,735903,1337611,591787,167010,397360,1257319,878744,423105,308205,84241,631926,88436,685383,177800,2310191,569163,1209802,1753896,770443
2019-02-07,153198,739643,78806,112162,655522,32916,3094955,730152,1362122,582328,158031,383243,1249630,845391,372529,300293,74146,620197,64192,672307,179502,2194291,505569,1142229,1696988,702542
2019-02-08,167125,755536,91665,129633,695480,37505,3198034,754988,1386035,627107,166935,399061,1304775,906825,420422,312119,92055,632313,77395,681624,190894,2326654,606804,1264323,1793235,806355
2019-02-09,136078,589272,89741,126607,562152,35239,2352013,582808,961764,510426,133715,307961,1079214,759582,382682,234925,89892,507547,83025,510923,156182,1927956,709872,1066075,1386057,793926
2019-02-10,104855,352071,58844,85457,389315,28438,1546324,352534,636107,348664,84842,182567,672263,508251,273309,158801,65489,319447,49349,307994,105858,1238243,452088,756862,885191,505737
2019-02-11,142905,711298,71190,102813,615107,28957,2760490,704969,1305686,564957,148632,360309,1264675,801091,340526,276539,64987,604492,54713,656317,189878,2096674,434038,1071542,1619928,629025
2019-02-12,150902,744748,78971,113206,654611,30480,2915403,720731,1374215,584276,154469,391784,1334529,846401,363798,293605,70833,643658,63085,687837,199800,2273124,502619,1129783,1743062,710723
2019-02-13,165386,758939,90221,128425,676204,38256,2980124,730828,1358143,607533,162174,402932,1365927,903311,409385,307597,84004,660627,71301,700296,204702,2354042,577284,1226092,1787020,743948
2019-02-14,166655,765343,95820,132500,685019,40006,3037234,753781,1403584,611874,165267,410094,1378439,906582,413500,311972,85152,673418,74457,713555,207942,2397356,602153,1230125,1800010,759618
2019-02-15,172666,761838,102302,142337,700487,44378,2973487,744880,1374922,631484,167646,409505,1391062,927945,438298,321751,98776,672625,85853,696132,215214,2444943,688176,1304602,1821320,827948
2019-02-16,161039,591572,107917,153057,627529,49161,2377297,594367,942935,551417,134170,344739,1194459,851836,445542,262450,106253,576073,91379,523795,181240,2142160,782292,1215280,1545020,899377
2019-02-17,147008,472060,95210,134206,505367,51539,1818862,444974,664110,419126,107013,260034,871798,676325,396373,227665,91078,444702,79577,382092,140547,1717228,646872,977296,1196562,725849
2019-02-18,152261,729022,85435,122991,650820,35202,2878613,698906,1111035,584171,135478,381644,1343267,849805,380608,325463,79122,666750,68680,662357,198043,2244144,565676,1161895,1708304,770724
2019-02-19,160658,758911,85857,120352,674839,36730,3021655,722105,1152994,602448,143454,402913,1401941,883033,391010,350974,79107,696048,69667,704052,205434,2329470,568284,1200964,1801929,791927
2019-02-20,161317,770962,87598,124484,695483,36545,3062858,731362,1153543,611525,143826,411777,1423025,903087,393377,344845,80223,705027,70588,706852,209459,2360034,564443,1211901,1826341,797752
2019-02-21,164457,775886,87998,123011,695941,36964,3101268,745225,1173500,618855,145850,412635,1435653,900932,401338,351947,81486,720509,72398,719707,211607,2395487,581959,1231999,1819202,802736
2019-02-22,158617,760086,90990,126316,711725,34012,3007403,750441,1150803,616756,148673,409596,1431226,899317,396492,340906,87329,708475,75536,685401,211006,2400134,588037,1227224,1823323,852750
2019-02-23,141448,583756,90225,125895,593417,36945,2450410,574940,884237,532637,126722,322466,1209503,756215,390902,277275,98195,579216,80549,506051,181435,2054954,714064,1138315,1405344,882440
2019-02-24,128240,443032,81966,117432,476714,41469,1907118,430212,708713,419703,106180,232408,867860,608665,352835,220442,83760,442381,72362,354833,140908,1627527,561823,916841,1077280,700638
2019-02-25,153500,741850,80385,113859,654496,33908,3104790,708219,1312256,591866,150617,343833,1368062,796917,364090,327633,77112,678241,65659,679607,198350,2276203,526697,1173071,1544835,796180
2019-02-26,160178,772127,82515,115564,688148,35461,3261340,722647,1377988,614256,159263,361692,1426854,833568,373638,338836,76959,706478,68620,713803,206739,2388599,514008,1209647,1609938,810216
2019-02-27,166251,794340,88353,122297,709978,38013,3333682,755569,1407012,636119,168105,372277,1461567,866652,388967,347180,83415,735230,74728,727453,211788,2456778,535011,1265398,1642614,838061
2019-02-28,161764,790127,77935,112285,704896,35743,3326556,772881,1425285,627024,164909,367689,1437468,890625,372436,337974,79863,728807,66381,727702,208699,2420326,529398,1240395,1637051,830289
2019-03-01,152269,758882,76375,102662,706111,31923,3153774,806979,1391390,615935,164648,199115,1425307,793520,350960,324809,83317,704544,65708,680963,205221,2343801,507819,1208948,1572647,780047
2019-03-02,129379,550902,76514,104746,570553,32563,2551581,608931,1009732,527550,135793,276027,1209947,762984,335470,260953,83724,594073,69209,457942,174635,2005640,616069,1069034,1360479,784682
2019-03-03,119816,418635,73989,95846,462213,32420,1894551,450963,751132,401747,108444,206207,850461,603048,320299,210901,77675,460195,65702,314437,130381,1560505,522186,897628,1074218,633210
2019-03-04,143364,628952,60920,86732,559742,28113,3025371,624860,1352445,559588,143986,364421,1284269,772190,310440,295491,65593,625358,52951,571022,185411,2149987,458654,1084368,1619491,594319
2019-03-05,151083,664700,71560,99903,605296,30106,3228530,658526,1452807,591614,156099,393149,1358136,826956,341002,311110,72418,669760,60398,612162,198214,2318562,508557,1143692,1756057,720081
2019-03-06,158626,670983,76493,108766,617522,32388,3317104,624409,1456197,614717,157514,402726,1396108,813984,360943,331765,76484,681696,59036,620548,206226,2362248,493128,1191054,1778395,701033
2019-03-07,152380,643830,70218,98818,569283,30742,3178125,593753,1422194,589591,151262,382222,1335745,769517,341710,318807,68481,644169,57182,604770,200340,2212857,426514,1125417,1660906,620301
2019-03-08,160283,681232,82525,114049,621589,33828,3272335,693316,1487182,626908,164753,406868,1429640,840046,378456,334051,85563,683253,71043,622140,213222,2387108,591851,1229157,1800254,770708
2019-03-09,134934,506817,74507,104242,530560,29871,2547192,586764,1103110,521412,129261,323378,1179568,710835,334131,262122,78210,539743,64959,438358,172118,1952527,588608,1044213,1424481,650662
2019-03-10,90237,379187,48780,68906,364128,20827,1637288,460806,774195,324781,88051,200195,696390,477624,233927,170380,56043,338959,48175,327792,111222,1231911,419416,678379,921569,394759
2019-03-11,139688,546834,69995,97582,607728,27857,2926162,695095,1358839,549107,141811,364163,1249892,785874,331597,302268,65986,600955,53663,669788,189463,2066185,385602,1057130,1599486,560756
2019-03-12,153460,643962,78771,112317,664263,34474,3251379,735023,1417580,592254,157836,397295,1350552,850669,371651,326933,72406,650648,65883,771410,200145,2293678,453331,1159632,1740198,663391
2019-03-13,149777,607763,76074,106665,665670,31813,3225525,747868,1388532,593084,157017,395982,1344937,849278,359053,324292,70339,646665,63124,675738,200334,2248728,421413,1132308,1711820,634279
2019-03-14,144114,581344,68900,96882,599565,30525,3000921,705651,1322807,554709,143591,359808,1235458,782284,333149,312138,64448,587297,54822,552071,189573,2048824,380688,1060973,1531706,562547
2019-03-15,150210,627668,80437,112570,677210,31894,3141565,770893,1410898,594909,159144,395107,1350118,863085,370753,320008,79222,655834,61624,560004,200679,2260630,430331,1153351,1715541,649596
2019-03-16,143220,552068,94794,130380,633214,36499,2750913,623576,1144838,560331,140363,346333,1238053,825754,398325,280782,84297,581500,81890,451248,188730,2112578,607118,1158193,1549799,778743
2019-03-17,111425,383769,69414,94893,401641,30246,1782166,378896,743996,382763,95252,203998,761894,545278,290374,190053,72978,371678,58338,301123,124031,1356043,442518,820164,956063,505038
2019-03-18,141692,708832,74216,101804,637956,29644,3060198,672483,1308560,564086,146819,373212,1297729,806661,332436,309942,66345,639574,53654,643239,190217,2137773,387329,1075447,1631655,577221
2019-03-19,152727,744640,80985,96007,666084,32056,3255684,457631,1372199,593346,155949,395676,1366844,865823,294864,328231,72360,675498,53077,683065,200086,2299276,418787,1136145,1758181,470131
2019-03-20,158738,767061,87062,123226,693161,32818,3378787,748934,1377754,617060,162995,414908,1438921,895362,397684,344179,76819,704809,72974,704672,209301,2417056,446677,1203113,1785889,667200
2019-03-21,145975,676096,78877,109705,605853,30524,2957659,654000,1224937,549095,144900,360725,1251514,787964,349722,299702,69821,617359,61256,633340,187999,2089033,403656,1066396,1553232,577608
2019-03-22,142169,642610,83114,115949,601058,31841,2821192,646410,1170037,535729,142673,351814,1218691,785242,356214,292706,77079,594616,69298,597981,185285,2014573,447665,1061343,1524281,614766
2019-03-23,125907,505684,82513,117395,528837,32543,2287675,537871,864737,483139,123499,300278,1053978,703446,341376,237866,72960,512021,71913,450773,164602,1742017,481257,957441,1292468,627979
2019-03-24,109964,388943,71755,101123,423280,31214,1713120,408501,637426,378248,96527,215371,764224,560395,303479,193493,69092,395413,65186,342883,128871,1361250,383988,786635,985602,468998
2019-03-25,121770,595528,63407,89846,533878,24351,2592819,588393,1084329,476841,124669,313273,1103261,678206,290783,262137,55260,535814,48474,551290,164063,1747898,302434,894947,1371782,495732
2019-03-26,147540,745140,75601,107528,655197,30190,3171573,718210,1322661,582234,154306,390415,1338278,829306,350423,330272,67218,664252,59746,677110,196259,2171256,373583,1104208,1701887,613025
2019-03-27,159112,779632,84370,119631,703949,33215,3401101,769426,1419443,627755,164910,420977,1459994,907779,381941,348298,74869,730576,71104,684495,210621,2329138,411091,1194298,1815901,663126
2019-03-28,162698,767719,85159,120461,691267,34029,3366223,766769,1415604,628343,162744,412352,1426343,893393,381972,343560,77145,711398,68690,695746,210787,2320990,425659,1205022,1792297,648828
2019-03-29,164841,775026,89973,129128,718830,34997,3387350,770317,1403697,650201,170286,415958,1464468,929450,407714,351028,88140,712304,77461,684589,220863,2337344,486383,1250632,1832252,713113
2019-03-30,150379,622782,89664,132524,648654,36758,2847615,669625,1065002,603990,155915,367917,1313939,882604,403285,301306,84940,632631,79290,525985,201753,2136088,531198,1155879,1631608,721891
2019-03-31,126907,465013,75796,110816,493099,35694,2080060,491977,761248,452509,120939,268506,904756,663587,342066,227960,75325,458639,71718,403301,157247,1629332,405865,908210,1199901,526216
2019-04-01,154916,748753,79905,115965,672718,31789,3263931,732872,1348903,607368,156967,392459,1374668,856212,370651,333533,72612,673417,62781,671134,203809,2224769,390781,1155049,1744797,630659
2019-04-02,160796,776587,81819,114502,688203,33416,3359525,733726,1387867,620863,160023,407797,1432188,873027,373330,339795,69069,699958,59791,705491,208403,2293975,373591,1175954,1797241,623429
2019-04-03,162497,744789,79128,114042,668028,33896,3339089,705333,1317257,625440,154426,385357,1419032,877164,370907,339016,71917,704512,59554,672502,208556,2220606,365330,1183800,1711321,610338
2019-04-04,148291,728570,68408,98076,653381,28972,3116699,683690,1340882,592574,150679,387087,1336683,810413,333783,321972,44878,662030,54165,663571,199487,2134737,329878,1079727,1671843,559616
2019-04-05,156271,750238,83591,120131,688046,31865,3263851,762565,1356321,624766,161457,396463,1409750,886269,378852,330837,70184,682309,65069,674434,213806,2231161,406865,1168408,1782397,682889
2019-04-06,132786,581833,81180,113714,574648,31376,2649913,600602,1001616,543515,135180,329092,1208484,778303,351173,259324,68327,557863,59616,498942,194343,1831869,424367,1011527,1479968,629497
2019-04-07,106715,404386,54628,77062,375975,27256,1883270,397043,680169,381706,95041,194641,804380,531586,267289,183071,56887,380195,46069,335218,144205,1203360,301143,753688,925414,381750
2019-04-08,132076,650315,67447,100040,572960,27424,2755514,667871,1216940,529453,132135,337206,1215361,756877,332969,297115,59035,563787,52418,589038,190930,1819362,336764,961150,1500456,563477
2019-04-09,129882,633588,66798,96878,563172,27703,2843399,640600,1208718,518325,131613,337150,1179241,737915,318970,286019,56564,546949,50156,582950,184582,1822549,316284,925300,1483616,559443
2019-04-10,128248,621738,66653,99843,565306,27163,2850405,639596,1163729,510972,134359,340916,1180701,746800,318720,284678,55950,538511,50276,563574,187217,1826955,323276,911645,1481594,549605
2019-04-11,128002,612811,64261,92298,541289,28036,2778776,623162,1127087,502222,131753,333540,1157705,710884,306258,283058,55215,533254,47759,561312,186806,1734151,315189,910110,1401923,518758
2019-04-12,128284,636207,70370,103129,592536,29198,2842838,652506,1143203,514153,144902,350259,1218364,766192,326200,293325,60414,558986,58181,565497,193576,1843627,354234,964249,1497647,585604
2019-04-13,108755,486120,60935,92129,480499,25760,2242784,534945,835046,436647,121488,273474,1008035,656144,290669,227702,54093,451925,57274,408472,158960,1493643,341728,826620,1193448,538289
2019-04-14,72578,285160,41668,60544,338658,19486,1334503,359877,608392,250544,78602,172887,589158,407453,182883,129342,36571,283885,38006,237586,102258,1020301,217813,507114,829741,375744
2019-04-15,129064,587945,73809,116913,530089,27631,2952700,651609,1220905,506492,126259,311442,1129378,846268,346916,304164,59447,530540,66850,529711,174919,1811895,407915,944102,1505217,572708
2019-04-16,156659,727874,81116,112328,597327,32421,3347039,753883,1260378,610569,148059,348760,1293846,859692,388642,308330,72345,625251,61133,641088,202713,2098430,391104,1172749,1512094,682837
2019-04-17,156635,731536,86250,123804,701704,33706,3410649,854559,1319723,643132,166551,403827,1363172,929836,402994,318567,76327,691250,71721,653846,220168,2327949,433200,1183675,1698230,730523
2019-04-18,133103,609278,78189,108726,591375,29071,2855223,742853,1054409,560188,145215,338256,1205261,801579,358802,292138,76779,604153,67020,503996,190057,1962957,416722,1044163,1429771,606896
2019-04-19,130474,412333,77802,119614,469675,40323,1867387,844723,691621,461043,123674,250556,834635,647118,346262,211473,72751,442206,79331,319414,167794,1522142,426586,899030,1109818,759646
2019-04-20,144491,518610,83585,126660,568402,39667,2337113,722518,788099,567764,139785,327420,1106890,779191,373919,243103,76960,552885,72373,412674,190926,1961194,480188,1060112,1369778,682202
2019-04-21,130801,388156,72055,109891,451091,41686,1686065,547874,562271,457496,119789,243050,800625,606413,326584,199605,68876,430179,65497,282006,158693,1523718,386067,858560,1004102,504196
2019-04-22,129936,404004,74295,107457,502509,38980,1720331,495889,601305,471291,118342,268060,835832,634178,325073,205866,70134,455494,61551,302953,156764,1555498,361182,868739,1050020,555377
2019-04-23,156558,673529,78408,110635,601841,33060,2895377,634404,1090203,612528,147740,355558,1276203,815168,365478,299231,72841,660921,62577,597484,195477,2221933,385805,1164632,1530143,591874
2019-04-24,162759,676015,75965,110265,600640,35169,2969009,613271,1081891,631364,149223,359099,1293362,821236,377660,310971,72264,666148,58717,609041,201062,2244078,368035,1189816,1495867,572875
2019-04-25,162231,695946,78017,112511,621816,35137,3019489,668603,1135782,640063,155236,369937,1338073,834994,374656,315365,71673,690101,59238,641086,207156,2291896,366357,1182817,1564723,584077
2019-04-26,157350,695809,75615,107715,643501,32755,2895542,659885,1159051,621412,159137,369590,1346259,816153,360829,303922,71728,687759,63435,630864,203267,2308170,356435,1170162,1612125,611233
2019-04-27,139587,542266,66686,97727,550485,32774,2337560,653006,903701,544274,135014,314967,1174012,721558,322307,247746,71674,571054,64028,468996,175336,1914243,335392,1048430,1367319,536913
2019-04-28,99309,369394,47156,67876,391800,24431,1613315,493785,639719,358639,93983,196682,738758,478872,223437,165607,49341,371001,47057,315404,124090,1300889,252596,704700,933332,351138
